x	y	y_err
13.5808361395	190.111471739	2.75593470671
14.0152051764	190.003992828	5.79774811786
14.3384713381	202.203932468	4.64355531594
15.5573243403	197.089927221	3.74524966162
16.9866032219	202.49019052	4.47179280306
17.0033718154	207.175386943	9.23017322781
17.4545584631	197.549422198	1.89478003882
17.7195643992	198.866358546	4.83328981172
18.1853549316	187.247460724	3.48176352237
18.3813066634	190.560031743	1.37939906955
18.6885948553	183.875490858	2.70683810315
19.977640077	169.016044465	4.96858250339
20.042659985	168.999922438	4.30161731721
20.3465652365	165.853584533	4.2299175173
20.3470982157	173.422703763	3.34486955024
21.4072788033	164.203143322	5.22707521833
21.8666972814	151.630337407	2.89631827783
22.1662626779	162.236864015	10.3870949917
22.292751492	148.684119425	2.10177269118
22.4284915488	152.13565232	2.44183111775
22.5810438113	142.49140917	6.04176164769
23.0705590615	152.72887778	7.36926255363
24.534816944	141.764371887	1.0810013093
24.6423055995	135.252708713	7.94150545297
24.7100762928	147.25725861	3.79840578061
24.8119297001	140.285440821	3.63800972756
24.8983556516	151.788153055	7.40586770164
24.9494396141	138.854111403	5.82793113562
25.6247519462	157.415030697	6.61575659222
25.850291281	156.288259152	2.47365587373
